# CIG: AMIGA/CIG galaxy identifier,logd25: logarithm of the optical D25 diameter,E_logd25: uncertainty on logd25,PHYS_DISTANCE_decimal: uncertainty/decimal companion field from RESULTS_OPT
CIG,logd25,E_logd25,PHYS_DISTANCE_decimal
695,0.993,0.090,138.825
696,0.880,0.053,131.370
697,1.092,0.042,45.036
698,0.814,0.128,47.415
699,1.162,0.060,10.400
700,0.892,0.051,48.641
701,0.706,0.089,304.867
702,0.954,0.111,58.884
703,0.664,0.086,81.766
704,0.893,0.116,137.819
705,0.786,0.064,158.902
706,1.108,0.035,108.570
707,0.847,0.053,
708,0.864,0.060,133.733
709,0.848,0.058,190.609
710,1.764,0.023,17.500
711,0.986,0.050,14.350
712,1.247,0.030,23.079
713,0.762,0.066,
714,0.803,0.062,76.593
715,0.987,0.046,212.543
716,1.214,0.042,130.537
717,0.804,0.068,178.445
718,0.571,0.087,139.128
719,0.956,0.050,125.496
720,0.887,0.056,94.873
721,0.697,0.079,151.380
722,1.023,0.089,134.879
723,1.015,0.038,120.744
724,1.302,0.025,120.339
725,0.761,0.062,173.208
726,0.905,0.048,138.006
727,0.674,0.196,120.549
728,0.825,0.078,25.850
729,0.756,0.064,
730,0.912,0.183,
731,0.807,0.059,129.490
732,1.127,0.041,75.838
733,0.947,0.113,59.443
734,0.959,0.091,54.601
735,0.893,0.057,126.550
736,1.648,0.016,18.986
737,0.868,0.057,
738,0.796,0.163,132.320
739,0.845,0.058,114.183
740,0.841,0.114,124.473
741,1.047,0.047,144.276
742,0.668,0.072,103.348
743,0.949,0.043,96.823
744,1.276,0.052,35.261
745,0.967,0.053,103.068
746,0.646,0.073,110.670
747,0.787,0.061,236.678
748,1.281,0.032,12.730
749,0.728,0.064,151.184
750,0.932,0.104,55.241
751,0.782,0.061,136.116
752,0.895,0.053,136.484
753,1.063,0.044,11.776
754,0.955,0.045,60.649
755,1.022,0.044,92.420
756,1.137,0.036,119.470
757,0.875,0.055,124.124
758,0.819,0.060,208.919
759,0.925,0.052,136.693
760,0.873,0.055,147.794
761,1.212,0.051,89.767
762,0.825,0.058,92.912
763,0.874,0.059,136.122
764,0.880,0.057,187.694
765,1.080,0.045,
766,1.539,0.035,11.400
767,0.757,0.071,127.444
768,0.861,0.056,91.593
769,1.200,0.039,56.747
770,0.800,0.070,167.162
771,0.820,0.069,143.140
772,1.274,0.028,69.694
773,0.987,0.091,118.640
774,0.827,0.158,
775,1.492,0.043,10.700
776,0.715,0.070,133.943
777,1.006,0.044,77.064
778,1.148,0.038,97.674
779,0.709,0.223,142.379
780,0.822,0.060,181.649
781,0.813,0.032,
782,0.836,0.058,96.919
783,0.916,0.056,134.993
784,0.768,0.061,85.963
785,0.968,0.049,128.280
786,0.857,0.055,83.294
787,0.497,0.071,
788,0.937,0.054,90.732
789,0.830,0.064,82.767
790,0.911,0.051,
791,1.134,0.041,33.866
792,0.767,0.072,122.664
793,0.884,0.057,56.387
794,0.924,0.112,122.149
795,0.904,0.048,120.233
796,1.005,0.108,126.732
797,0.944,0.045,82.564
798,1.027,0.071,19.109
799,0.910,0.055,20.834
800,1.085,0.038,82.170
801,0.901,0.052,69.149
802,2.566,0.024,0.100
803,0.712,0.188,111.400
804,0.859,0.068,97.342
805,1.106,0.044,63.829
806,0.963,0.049,87.000
807,0.759,0.181,111.889
808,1.323,0.034,22.512
809,0.974,0.043,163.154
810,1.208,0.041,61.821
811,0.948,0.064,107.284
812,1.080,0.044,42.071
813,1.328,0.028,20.157
814,0.820,0.058,
815,0.825,0.058,95.830
816,0.965,0.052,85.071
817,0.938,0.093,88.772
818,0.825,0.058,95.497
819,0.773,0.066,96.402
820,0.701,0.187,91.714
821,0.911,0.054,
822,0.891,0.055,
823,0.727,0.156,88.417
824,0.851,0.133,73.046
825,0.863,0.148,104.686
826,0.648,0.082,124.503
827,0.648,0.082,60.457
828,1.319,0.032,63.243
829,0.614,0.183,155.873
830,0.991,0.039,145.883
831,0.860,0.057,86.664
832,0.583,0.184,44.888
833,0.760,0.067,27.403
834,0.722,0.081,117.270
835,0.924,0.136,51.965
836,0.810,0.062,197.903
837,1.774,0.021,6.100
838,1.120,0.041,82.672
839,0.804,0.068,128.283
840,1.118,0.036,65.088
841,1.211,0.034,78.977
842,0.907,0.052,
843,0.946,0.045,126.844
844,0.919,0.043,98.391
845,0.818,0.061,73.065
846,0.994,0.046,
847,1.326,0.041,39.923
848,0.912,0.050,84.170
849,0.931,0.051,110.689
850,1.521,0.023,22.634
851,1.464,0.052,27.089
852,1.034,0.043,109.070
853,1.065,0.043,33.531
854,1.159,0.069,67.453
855,1.517,0.021,10.900
856,0.902,0.056,135.257
857,0.960,0.047,109.248
858,1.082,0.041,75.862
