galaxy,group,phase,hi_diameter_kpc,hi_diameter_err_kpc,hi_mass,hi_mass_err,optical_diameter_kpc,optical_diameter_err_kpc,log_stellar_mass,distance_mpc,linear_resolution_kpc,coldens_limit,fractional_mass_error,is_upper_limit
HCG71b,HCG71,2,16.764383999999485,,,,24.409872024199014,,,133,,,,1
HCG79a,HCG79,2,5.844709197693138,,,,30.001423057943068,,,58,,,,1
HCG79b,HCG79,2,6.046250894165315,,,,39.9820549702254,,,60,,,,1
HCG79c,HCG79,2,5.643167501220961,,,,26.418118782706863,,,56,,,,1
HCG91d,HCG91,2,22.89550491027322,,,,13.724662982537556,,,92,,,,1
HCG96b,HCG96,2,15.004326331236548,,,,25.37533017781623,,,115,,,,1
HCG96c,HCG96,2,15.265271136997184,,,,11.800481361976992,,,117,,,,1
HCG96d,HCG96,2,15.656688345638138,,,,8.182671333603107,,,120,,,,1
HCG15a,HCG15,3c,27.95996544102915,,,,35.598972811667394,,,95,,,,1
HCG15b,HCG15,3c,28.54859629241924,,,,26.945459611925777,,,97,,,,1
HCG15c,HCG15,3c,28.842911718114284,,,,24.262745190126115,,,98,,,,1
HCG15d,HCG15,3c,24.72249575838367,,,,22.28399988795515,,,84,,,,1
HCG15e,HCG15,3c,28.54859629241924,,,,19.97494516688083,,,97,,,,1
NGC1188,HCG22,3c,9.131566148074477,,,,12.939443113435987,,,37,,,,1
HCG22a,HCG22,3c,9.378365233157572,,,,28.411715561088666,,,38,,,,1
HCG22b,HCG22,3c,9.131566148074477,,,,8.164236665906092,,,37,,,,1
HCG33a,HCG33,3c,8.828961727295257,,,,27.58971414699209,,,104,,,,1
HCG33b,HCG33,3c,9.338324903869983,,,,32.74210121540883,,,110,,,,1
HCG33d,HCG33,3c,8.998749452820165,,,,17.742700711099012,,,106,,,,1
HCG56b,HCG56,3c,12.897446741683448,,,,24.934020087767255,,,113,,,,1
HCG56c,HCG56,3c,13.239856832170618,,,,27.426592302850334,,,116,,,,1
HCG56d,HCG56,3c,13.696403619486848,,,,16.706870550577086,,,120,,,,1
HCG56e,HCG56,3c,12.897446741683448,,,,14.348030956868204,,,113,,,,1
HCG68a,HCG68,3c,9.04884022906504,,,,22.328720623500455,,,32,,,,1
HCG68b,HCG68,3c,11.3110502863313,,,,35.13774225722154,,,40,,,,1
HCG68d,HCG68,3c,9.897169000539886,,,,11.689122389735466,,,35,,,,1
HCG68e,HCG68,3c,9.897169000539886,,,,11.423045479557432,,,35,,,,1
HCG90b,HCG90,3c,7.386584913034035,,,,10.353222688051414,,,31,,,,1
HCG90c,HCG90,3c,8.339692643748103,,,,18.957536720937323,,,35,,,,1
HCG90d,HCG90,3c,8.577969576426622,,,,26.303670907110234,,,36,,,,1
HCG93a,HCG93,3c,18.513901242460424,,,,26.90876931293282,,,64,,,,1
HCG93c,HCG93,3c,18.513901242460424,,,,19.493680131650923,,,64,,,,1
HCG93d,HCG93,3c,18.513901242460424,,,,12.879346740537613,,,64,,,,1
