cig,PHOT_EXTINCTION_INT,PHOT_EXTINCTION_INT_decimal,PHOT_K_CORRECTION,PHOT_K_CORRECTION_decimal,BTC,BTC_decimal,PHYS_DISTANCE,PHYS_DISTANCE_decimal,PHYS_LUMINOSITY_B,PHYS_LUMINOSITY_B_decimal,POS_INCLIN_LOS,POS_INCLIN_LOS_decimal,ANG_SIZE_MAJ,ANG_SIZE_MAJ_decimal,ANG_SIZE_MIN,ANG_SIZE_MIN_decimal,PHYS_SIZE_MAJ,PHYS_SIZE_MAJ_decimal,PHYS_SIZE_MIN,PHYS_SIZE_MIN_decimal
210,256,0.2555,47,0.0465,15.215,15.2150,111.9,111.919,9.96,9.9618,46.0,46.008,0.54,537,0.38,381,17.5,17.484,12.4,12.406
211,0,0.0000,126,0.1262,15.150,15.1498,111.3,111.303,9.98,9.9831,90.0,90.000,0.99,993,0.29,294,32.2,32.154,9.5,9.533
212,343,0.3433,9,0.0095,14.325,14.3252,26.5,26.491,9.07,9.0661,51.4,51.367,0.84,836,0.53,535,6.4,6.439,4.1,4.119
213,68,0.0677,75,0.0746,14.559,14.5587,79.1,79.107,9.92,9.9230,34.0,34.001,0.78,778,0.66,661,17.9,17.904,15.2,15.203
214,72,0.0723,66,0.0659,15.251,15.2508,134.7,134.707,10.11,10.1084,26.1,26.095,0.62,621,0.56,561,24.3,24.329,22.0,21.984
215,162,0.1617,45,0.0452,14.218,14.2181,93.9,93.943,10.21,10.2085,38.4,38.423,1.12,1.119,0.89,891,30.6,30.591,24.4,24.355
216,155,0.1550,129,0.1289,15.247,15.2471,112.9,112.934,9.96,9.9568,90.0,90.000,0.73,728,0.26,258,23.9,23.908,8.5,8.464
217,43,0.0433,19,0.0193,13.635,13.6355,46.9,46.942,9.84,9.8389,19.7,19.676,1.40,1.400,1.32,1.321,19.1,19.111,18.0,18.042
218,186,0.1858,29,0.0294,15.224,15.2238,72.9,72.915,9.59,9.5861,39.7,39.728,0.87,867,0.68,676,18.4,18.388,14.3,14.340
219,375,0.3752,79,0.0789,15.199,15.1989,189.6,189.643,10.43,10.4263,54.6,54.572,0.45,453,0.27,273,25.0,24.984,15.1,15.054
220,0,0.0000,203,0.2028,15.252,15.2522,178.7,178.650,10.35,10.3531,90.0,90.000,0.94,940,0.23,232,48.8,48.835,12.1,12.071
221,148,0.1482,50,0.0500,15.306,15.3058,119.4,119.445,9.98,9.9820,35.7,35.724,0.57,569,0.47,467,19.8,19.765,16.2,16.214
222,136,0.1362,30,0.0303,14.340,14.3395,71.8,71.787,9.93,9.9263,34.3,34.323,0.95,953,0.79,794,19.9,19.896,16.6,16.587
223,272,0.2725,78,0.0776,15.394,15.3939,186.7,186.682,10.33,10.3346,47.4,47.364,0.56,565,0.39,392,30.7,30.678,21.3,21.273
224,50,0.0503,0,0.0000,12.000,11.9997,10.1,10.100,9.16,9.1587,20.7,20.677,2.47,2.466,2.31,2.312,7.2,7.245,6.8,6.793
225,110,0.1098,73,0.0727,14.982,14.9815,148.1,148.053,10.30,10.2982,32.0,31.951,0.71,710,0.61,608,30.6,30.559,26.2,26.190
226,593,0.5928,69,0.0685,15.180,15.1796,120.1,120.089,10.04,10.0372,73.5,73.475,0.53,527,0.20,199,18.4,18.418,6.9,6.938
227,445,0.4445,70,0.0702,13.923,13.9233,123.0,122.996,10.56,10.5605,64.5,64.463,1.47,1.466,0.72,718,52.4,52.435,25.7,25.681
228,0,0.0000,130,0.1298,15.295,15.2952,115.9,115.890,9.96,9.9600,43.6,43.632,0.63,631,0.50,501,21.3,21.270,16.9,16.896
229,158,0.1584,52,0.0522,15.264,15.2644,124.2,124.178,10.03,10.0323,36.9,36.872,0.55,552,0.45,447,19.9,19.942,16.1,16.135
230,129,0.1293,33,0.0332,15.148,15.1484,81.6,81.624,9.71,9.7143,33.5,33.489,0.76,755,0.64,635,17.9,17.929,15.1,15.085
231,694,0.6936,45,0.0448,14.867,14.8666,91.5,91.504,9.93,9.9262,73.5,73.461,0.85,845,0.30,303,22.5,22.499,8.1,8.075
232,150,0.1499,29,0.0289,12.653,12.6532,69.1,69.107,10.57,10.5678,35.9,35.918,1.66,1.660,1.36,1.358,33.4,33.362,27.3,27.305
233,0,0.0000,168,0.1684,15.743,15.7426,148.2,148.187,9.99,9.9946,51.4,51.352,0.55,553,0.40,402,23.9,23.853,17.3,17.320
234,486,0.4857,64,0.0640,13.681,13.6813,111.8,111.764,10.57,10.5741,67.1,67.080,1.41,1.406,0.64,641,45.7,45.712,20.8,20.846
235,50,0.0496,0,0.0000,11.987,11.9874,6.9,6.900,8.83,8.8328,22.1,22.097,2.06,2.061,1.94,1.936,4.1,4.136,3.9,3.887
236,462,0.4619,66,0.0660,14.790,14.7901,114.7,114.714,10.15,10.1532,65.6,65.580,0.96,962,0.46,457,32.1,32.088,15.3,15.253
237,1.277,1.2765,35,0.0355,13.433,13.4330,73.0,73.028,10.30,10.3038,90.0,90.000,2.92,2.924,0.38,376,62.1,62.118,8.0,7.984
238,286,0.2864,54,0.0539,15.001,15.0007,109.9,109.882,10.03,10.0316,50.1,50.068,1.03,1.026,0.68,682,32.8,32.783,21.8,21.810
239,284,0.2843,0,0.0000,10.734,10.7337,3.1,3.100,8.64,8.6393,51.5,51.475,7.93,7.925,5.57,5.572,7.1,7.146,5.0,5.024
240,778,0.7784,26,0.0260,12.690,12.6896,64.3,64.340,10.49,10.4911,73.7,73.688,1.43,1.426,0.49,486,26.7,26.681,9.1,9.103
241,248,0.2484,26,0.0256,14.903,14.9030,73.6,73.613,9.72,9.7227,44.5,44.476,0.58,578,0.42,419,12.4,12.379,9.0,8.968
242,415,0.4154,16,0.0161,15.396,15.3955,59.5,59.521,9.34,9.3411,54.9,54.939,0.51,507,0.30,299,8.8,8.778,5.2,5.169
243,0,0.0000,67,0.0673,15.064,15.0637,57.7,57.725,9.45,9.4473,41.9,41.876,0.79,793,0.64,641,13.3,13.307,10.8,10.767
